##& xmin & xmax & central value & dy & muR= 0.500 muF= 0.500 & muR= 0.500 muF= 1.000 & muR= 0.500 muF= 2.000 & muR= 1.000 muF= 0.500 & muR= 1.000 muF= 1.000 & muR= 1.000 muF= 2.000 & muR= 2.000 muF= 0.500 & muR= 2.000 muF= 1.000 & muR= 2.000 muF= 2.000

<histogram> 100 "pt1 [GeV] |X_AXIS@LIN |Y_AXIS@LOG |JETSAMPLE@0"
  +3.2000000e+02   +3.3000000e+02   +2.7040300e-13   +2.2004884e-14  +4.7252000e-13   +1.2449600e-13   +3.1340100e-13   +3.3466900e-13   +1.2258300e-13   +2.2200800e-13   +2.4416200e-13   +1.9729500e-13   +1.6200100e-13
  +3.3000000e+02   +3.4000000e+02   +2.6503200e-13   +2.1784927e-14  +4.6384000e-13   +1.2363600e-13   +3.0790400e-13   +3.2781800e-13   +1.2073100e-13   +2.1764300e-13   +2.3906200e-13   +1.9328700e-13   +1.5874200e-13
  +3.4000000e+02   +3.5000000e+02   +2.2026300e-13   +1.9860808e-14  +3.8605000e-13   +1.0193700e-13   +2.5659800e-13   +2.7226300e-13   +1.0013100e-13   +1.8090800e-13   +1.9841500e-13   +1.6050500e-13   +1.3182500e-13
  +3.5000000e+02   +3.6000000e+02   +2.2384400e-13   +2.0020983e-14  +3.8945400e-13   +1.0934700e-13   +2.5861200e-13   +2.7699400e-13   +1.0556300e-13   +1.8402100e-13   +2.0275400e-13   +1.6388500e-13   +1.3475900e-13
  +3.6000000e+02   +3.7000000e+02   +2.0414500e-13   +1.9120024e-14  +3.5590300e-13   +9.7172000e-14   +2.3635000e-13   +2.5247900e-13   +9.4238000e-14   +1.6769400e-13   +1.8451900e-13   +1.4921000e-13   +1.2258000e-13
  +3.7000000e+02   +3.8000000e+02   +1.9340200e-13   +1.8610011e-14  +3.3377600e-13   +1.0085400e-13   +2.2443600e-13   +2.3780800e-13   +9.5477000e-14   +1.5994400e-13   +1.7434300e-13   +1.4180400e-13   +1.1728800e-13
  +3.8000000e+02   +3.9000000e+02   +2.0235600e-13   +1.9036008e-14  +3.5013300e-13   +1.0301300e-13   +2.3451700e-13   +2.4927400e-13   +9.6613000e-14   +1.6697200e-13   +1.8263800e-13   +1.4827100e-13   +1.2235500e-13
  +3.9000000e+02   +4.0000000e+02   +1.9519200e-13   +1.8695989e-14  +3.4127300e-13   +9.1352000e-14   +2.2454100e-13   +2.4275800e-13   +8.6642000e-14   +1.5975200e-13   +1.7762900e-13   +1.4283500e-13   +1.1691300e-13
  +4.0000000e+02   +4.1000000e+02   +1.3788800e-13   +1.5713818e-14  +2.4043300e-13   +6.7342000e-14   +1.5954600e-13   +1.7064500e-13   +6.3629000e-14   +1.1325600e-13   +1.2478700e-13   +1.0084100e-13   +8.2836000e-14
  +4.1000000e+02   +4.2000000e+02   +1.4505100e-13   +1.6116786e-14  +2.5075800e-13   +7.2994000e-14   +1.6793300e-13   +1.7876000e-13   +6.8909000e-14   +1.1972700e-13   +1.3106300e-13   +1.0635600e-13   +8.7797000e-14
  +4.2000000e+02   +4.3000000e+02   +1.0565500e-13   +1.3754980e-14  +1.8319500e-13   +5.4827000e-14   +1.2178600e-13   +1.3058200e-13   +4.8562000e-14   +8.6815000e-14   +9.5742000e-14   +7.7469000e-14   +6.3658000e-14
  +4.3000000e+02   +4.4000000e+02   +1.1102600e-13   +1.4100456e-14  +1.8861300e-13   +6.1266000e-14   +1.2987100e-13   +1.3477500e-13   +5.4319900e-14   +9.2859000e-14   +9.9012000e-14   +8.1586000e-14   +6.8255000e-14
